epoch, training loss, rmse loss, validation loss
228,32.749,32.749,0.000
229,32.737,32.737,0.000
230,32.748,32.748,0.000
231,32.844,32.844,0.000
232,32.695,32.695,0.000
233,32.741,32.741,0.000
234,32.705,32.705,0.000
235,32.807,32.807,0.000
236,32.759,32.759,0.000
237,32.687,32.687,0.000
238,32.782,32.782,0.000
239,32.626,32.626,0.000
240,32.799,32.799,0.000
241,32.658,32.658,0.000
242,32.651,32.651,0.000
243,32.554,32.554,0.000
244,32.497,32.497,0.000
245,32.590,32.590,0.000
246,32.623,32.623,0.000
247,32.680,32.680,0.000
248,32.641,32.641,0.000
249,32.709,32.709,0.000
250,32.702,32.702,0.000
251,32.650,32.650,0.000
252,32.654,32.654,0.000
253,32.725,32.725,0.000
254,32.603,32.603,0.000
255,32.652,32.652,0.000
256,32.665,32.665,0.000
257,32.663,32.663,0.000
258,32.540,32.540,0.000
259,32.547,32.547,0.000
260,32.727,32.727,0.000
261,32.693,32.693,0.000
262,32.547,32.547,0.000
263,32.632,32.632,0.000
264,32.586,32.586,0.000
265,32.589,32.589,0.000
266,32.618,32.618,0.000
267,32.517,32.517,0.000
268,32.571,32.571,0.000
269,32.630,32.630,0.000
270,32.585,32.585,0.000
271,32.565,32.565,0.000
272,32.602,32.602,0.000
273,32.545,32.545,0.000
274,32.573,32.573,0.000
275,32.663,32.663,0.000
276,32.633,32.633,0.000
277,32.641,32.641,0.000
278,32.564,32.564,0.000
279,32.563,32.563,0.000
280,32.621,32.621,0.000
281,32.628,32.628,0.000
282,32.503,32.503,0.000
283,32.584,32.584,0.000
284,32.636,32.636,0.000
285,32.541,32.541,0.000
286,32.493,32.493,0.000
287,32.595,32.595,0.000
288,32.602,32.602,0.000
289,32.478,32.478,0.000
290,32.510,32.510,0.000
291,32.667,32.667,0.000
292,32.545,32.545,0.000
293,32.508,32.508,0.000
294,32.410,32.410,0.000
295,32.500,32.500,0.000
296,32.540,32.540,0.000
297,32.527,32.527,0.000
298,32.578,32.578,0.000
299,32.542,32.542,0.000
300,32.442,32.442,0.000
301,32.434,32.434,0.000
302,32.498,32.498,0.000
